Number,0-10 %3 HW1,0-10 %3 Q1,0-10 %3 Q2,0-10 %3 Q3,0-10 %3 Q4,0-10 %3 Q5,0-100 %15 Midterm,0-100 %40 Proj,0-100 %25 Final Exam,Total Grade,Dataset,Manual Category,KNN results,Match result successful,Match result failing,Distance to student 3,Distance to student 4,Distance to student 5,Distance to student 13,Distance to student 14,Distance to student 15,Distance to student 16,Distance to student 21,Distance to student 22,Distance to student 23,Distance to student 30,Distance to student 31,Distance to student 32,Distance to student 36,Distance to student 37,Distance to student 38,Distance to student 39,Distance to student 40,Distance to student 41,Distance to student 42
24,10.0,,8.0,,,,37.0,0,,10.95,train,Failing,,,,0.0,85.0,97.80081799,64.35060217,55.22680509,81.39410298,75.69015788,56.82429058,75.29276194,0.0,61.7170965,60.80296045,10.0,82.0,88.40814442,44.72135955,91.43850392,85.0940656,76.83749085,59.46427499
25,10.0,10.0,,,8.0,8.0,53.0,10,,22.75,train,Failing,,,,10.0,76.32168761,92.11405973,59.50630219,47.01063709,74.33034374,66.09841148,48.25971405,66.85057965,10.0,54.4885309,55.47071299,0.0,72.277244,80.72174428,36.05551275,85.21150157,75.76938696,69.3108938,53.25410782
26,10.0,4.0,4.0,7.0,10.0,9.0,31.0,60,33.0,50.1,train,Failing,,,,68.47627326,16.55294536,45.01110974,32.64965543,13.60147051,22.0,18.38477631,11.66190379,7.071067812,68.47627326,14.76482306,28.8444102,59.9082632,25.0,23.2594067,23.85372088,36.0,20.39607805,15.0,22.82542442
27,10.0,6.0,9.0,8.0,10.0,9.0,55.0,87,66.0,75.15,train,Successful,,,,109.2016483,28.63564213,30.46309242,53.36665626,54.4885309,29.15475947,48.08326112,53.75872022,35.60898763,109.2016483,47.70744177,53.75872022,101.414989,48.50773134,20.80865205,65.76473219,27.16615541,37.65634077,32.44996148,51.89412298
28,10.0,4.0,7.0,2.0,,8.0,22.0,15,,18.6,train,Failing,,,,15.0,72.11102551,89.55445271,57.5847202,43.18564576,71.06335202,61.3514466,44.20407221,62.80127387,15.0,51.2249939,53.31041174,5.0,67.44627492,77.07788269,32.01562119,82.37718131,71.1758386,65.7951366,50.60632372
29,10.0,4.0,,,7.0,9.0,40.0,47,40.0,43.8,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
30,10.0,9.0,,,,,39.0,36,49.0,38.2,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
31,10.0,,5.0,4.0,10.0,8.0,42.0,10,,21.4,test,Failing,Failing,TN,TP,,,,,,,,,,,,,,,,,,,,
32,10.0,5.0,10.0,6.0,10.0,9.0,40.0,73,34.0,58.7,train,Successful,,,,80.5294977,6.32455532,46.17358552,42.94182111,26.47640459,24.69817807,14.0,24.04163056,8.94427191,80.5294977,26.68332813,39.92492956,71.58910532,17.4642492,20.22374842,35.84689666,37.33630941,8.602325267,19.10497317,34.4818793
33,10.0,4.0,6.0,10.0,9.0,9.0,55.0,74,43.0,63.0,train,Successful,,,,85.58621384,3.16227766,38.07886553,40.52159918,30.41381265,18.43908891,23.02172887,28.8444102,10.29563014,85.58621384,27.16615541,38.47076812,77.1038261,25.70992026,11.70469991,41.0487515,29.52964612,15.23154621,14.86606875,34.0147027
34,10.0,10.0,10.0,6.0,10.0,8.0,69.0,75,72.0,74.55,train,Successful,,,,103.9663407,32.0,17.08800749,43.8634244,51.31276644,22.6715681,52.03844733,51.4781507,35.44009029,103.9663407,42.52058325,45.27692569,97.0,54.23098745,18.68154169,62.68173578,15.29705854,43.28972164,28.3019434,44.82186966
35,10.0,20.0,70.0,30.0,10.0,8.6,38.0,80,18.0,50.8,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
36,10.0,20.0,80.0,100.0,65.0,14.33,50.0,70,54.0,63.33,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
37,10.0,35.0,80.0,90.0,25.0,12.73,40.0,40,20.0,39.73,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
38,10.0,40.0,70.0,80.0,55.0,13.43,72.0,60,69.0,65.48,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
39,10.0,45.0,75.0,100.0,50.0,14.43,37.0,80,29.0,59.23,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
40,10.0,20.0,70.0,100.0,75.0,14.33,47.0,60,48.0,57.38,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
41,10.0,45.0,70.0,90.0,50.0,13.8,43.0,40,44.0,47.25,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
42,10.0,55.0,70.0,80.0,75.0,14.93,31.0,40,33.0,43.83,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
43,10.0,20.0,70.0,50.0,60.0,11.65,39.0,60,27.0,48.25,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
44,10.0,30.0,75.0,35.0,0.0,8.98,31.0,40,13.0,32.88,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
45,10.0,50.0,70.0,1.0,70.0,11.34,28.0,60,33.0,47.79,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
46,10.0,45.0,70.0,60.0,75.0,13.73,41.0,60,35.0,52.63,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
47,10.0,40.0,60.0,10.0,55.0,10.18,56.0,80,34.0,59.08,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
48,10.0,45.0,70.0,100.0,75.0,15.33,63.0,80,44.0,67.78,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
49,10.0,30.0,80.0,100.0,75.0,15.18,51.0,60,49.0,59.08,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
50,10.0,35.0,70.0,80.0,40.0,12.55,43.0,70,42.0,57.5,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
51,10.0,35.0,80.0,100.0,55.0,14.48,40.0,60,57.0,58.73,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
52,10.0,20.0,40.0,80.0,20.0,9.7,44.0,40,25.0,38.55,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
53,10.0,45.0,50.0,80.0,60.0,12.95,48.0,50,38.0,49.65,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
54,10.0,35.0,50.0,40.0,55.0,10.73,43.0,40,33.0,41.43,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
55,10.0,40.0,70.0,80.0,70.0,14.1,62.0,80,68.0,72.4,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
56,10.0,25.0,75.0,100.0,75.0,14.76,47.0,50,58.0,56.31,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
57,10.0,35.0,80.0,80.0,60.0,13.9,54.0,80,52.0,67.0,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
58,10.0,40.0,40.0,0.0,25.0,7.53,37.0,50,19.0,37.83,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
59,10.0,35.0,90.0,100.0,60.0,15.15,56.0,50,65.0,59.8,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
60,7.0,30.0,75.0,50.0,50.0,10.93,40.0,30,28.0,35.93,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
61,10.0,45.0,70.0,90.0,50.0,13.8,39.0,60,39.0,53.4,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
62,10.0,50.0,50.0,80.0,55.0,12.93,45.0,70,27.0,54.43,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
63,10.0,35.0,70.0,35.0,50.0,11.2,44.0,70,38.0,55.3,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
64,10.0,30.0,70.0,90.0,0.0,10.95,49.0,50,39.0,48.05,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
65,10.0,50.0,90.0,0.0,50.0,11.3,43.0,40,43.0,44.5,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
66,10.0,30.0,100.0,80.0,85.0,15.73,68.0,80,68.0,74.93,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
67,10.0,50.0,90.0,100.0,85.0,16.88,57.0,30,74.0,55.93,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
68,10.0,30.0,70.0,95.0,50.0,13.4,39.0,50,46.0,50.75,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
69,10.0,25.0,40.0,80.0,95.0,13.28,42.0,50,27.0,46.33,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
70,10.0,35.0,70.0,100.0,80.0,15.15,59.0,60,82.0,68.5,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
71,,0.0,70.0,0.0,0.0,3.15,42.0,0,,9.45,test,Failing,,,,,,,,,,,,,,,,,,,,,,,
72,10.0,30.0,50.0,1.0,70.0,9.64,41.0,80,44.0,58.79,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
73,10.0,30.0,40.0,0.0,20.0,6.9,33.0,50,31.0,39.6,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
74,10.0,35.0,70.0,60.0,50.0,12.2,28.0,50,43.0,47.15,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
75,10.0,30.0,70.0,100.0,30.0,12.7,54.0,50,45.0,52.05,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
76,10.0,45.0,70.0,90.0,60.0,14.25,43.0,70,47.0,60.45,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
77,10.0,35.0,70.0,70.0,20.0,11.25,26.0,30,33.0,35.4,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
78,10.0,25.0,50.0,40.0,55.0,10.33,22.0,50,54.0,47.13,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
79,10.0,45.0,70.0,80.0,80.0,14.75,36.0,40,37.0,45.4,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
80,10.0,40.0,75.0,90.0,55.0,14.06,49.0,90,50.0,69.91,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
81,10.0,50.0,70.0,100.0,55.0,14.63,53.0,70,51.0,63.33,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
82,10.0,45.0,70.0,100.0,55.0,14.43,52.0,60,52.0,59.23,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
83,10.0,30.0,70.0,100.0,75.0,14.73,62.0,70,85.0,73.28,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
84,10.0,35.0,75.0,80.0,60.0,13.68,66.0,90,51.0,72.33,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
85,10.0,30.0,40.0,1.0,0.0,6.04,37.0,80,57.0,57.84,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
86,10.0,40.0,55.0,80.0,55.0,12.76,45.0,90,31.0,63.26,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
87,10.0,35.0,60.0,100.0,75.0,14.48,53.0,60,53.0,59.68,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
88,10.0,20.0,70.0,20.0,1.0,7.8,44.0,90,31.0,58.15,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
89,10.0,5.0,70.0,0.0,0.0,6.35,18.0,20,,17.05,test,Failing,,,,,,,,,,,,,,,,,,,,,,,
90,10.0,25.0,40.0,70.0,70.0,11.75,45.0,40,48.0,46.5,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
91,10.0,35.0,70.0,75.0,75.0,13.93,60.0,70,51.0,63.68,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
92,10.0,30.0,70.0,100.0,50.0,13.6,63.0,80,41.0,65.3,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
93,10.0,40.0,70.0,0.0,0.0,7.75,43.0,50,22.0,39.7,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
94,10.0,45.0,75.0,0.0,50.0,10.43,45.0,40,22.0,38.68,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
95,10.0,20.0,90.0,60.0,60.0,12.95,32.0,80,43.0,60.5,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
96,10.0,30.0,85.0,100.0,30.0,13.38,47.0,30,48.0,44.43,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
97,10.0,35.0,75.0,100.0,65.0,14.71,59.0,50,40.0,53.56,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
98,10.0,50.0,80.0,100.0,45.0,14.63,65.0,80,53.0,69.63,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
99,10.0,35.0,70.0,40.0,55.0,11.63,48.0,40,61.0,50.08,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
100,10.0,30.0,45.0,35.0,25.0,8.76,36.0,70,49.0,54.41,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
101,10.0,35.0,70.0,100.0,55.0,14.03,64.0,70,50.0,64.13,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
102,10.0,35.0,70.0,60.0,50.0,12.2,58.0,80,62.0,68.4,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
103,10.0,30.0,70.0,40.0,50.0,11.2,40.0,30,36.0,38.2,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
104,8.0,25.0,75.0,100.0,70.0,13.93,72.0,50,62.0,60.23,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
105,10.0,30.0,70.0,80.0,70.0,13.7,75.0,80,90.0,79.45,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
106,10.0,20.0,70.0,1.0,20.0,7.89,41.0,50,35.0,42.79,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
107,10.0,30.0,90.0,100.0,60.0,14.95,67.0,80,59.0,71.75,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
108,10.0,35.0,75.0,80.0,55.0,13.46,53.0,80,58.0,67.91,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
109,10.0,30.0,70.0,80.0,25.0,11.68,43.0,70,55.0,59.88,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
110,10.0,30.0,50.0,80.0,90.0,13.7,45.0,70,57.0,62.7,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
111,10.0,25.0,70.0,60.0,25.0,10.68,32.0,30,13.0,30.73,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
112,10.0,25.0,70.0,85.0,75.0,13.93,39.0,40,57.0,50.03,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
113,10.0,25.0,70.0,80.0,55.0,12.83,56.0,70,41.0,59.48,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
114,10.0,30.0,70.0,95.0,50.0,13.4,37.0,70,37.0,56.2,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
115,10.0,30.0,75.0,100.0,50.0,13.83,60.0,30,62.0,50.33,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
116,10.0,30.0,85.0,50.0,85.0,13.86,47.0,60,34.0,53.41,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
117,10.0,35.0,70.0,1.0,55.0,10.07,54.0,60,15.0,45.92,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
118,10.0,25.0,30.0,60.0,50.0,10.0,20.0,20,,21.0,test,Failing,,,,,,,,,,,,,,,,,,,,,,,
119,10.0,30.0,70.0,60.0,55.0,12.23,50.0,50,24.0,45.73,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
120,10.0,0.0,70.0,0.0,10.0,6.6,29.0,20,,18.95,test,Failing,,,,,,,,,,,,,,,,,,,,,,,
121,10.0,10.0,70.0,100.0,65.0,13.48,37.0,70,93.0,70.28,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
122,2.0,10.0,40.0,0.0,20.0,3.7,19.0,20,,14.55,test,Failing,,,,,,,,,,,,,,,,,,,,,,,
123,8.0,30.0,75.0,60.0,60.0,12.08,47.0,50,56.0,53.13,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
124,10.0,20.0,40.0,80.0,0.0,8.8,58.0,60,30.0,49.0,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
125,10.0,20.0,40.0,100.0,55.0,12.08,48.0,60,39.0,53.03,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
126,10.0,45.0,70.0,75.0,80.0,14.55,56.0,80,61.0,70.2,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
127,10.0,0.0,40.0,0.0,1.0,4.85,46.0,40,19.0,32.5,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
128,10.0,20.0,20.0,40.0,0.0,6.3,34.0,20,,19.4,test,Failing,,,,,,,,,,,,,,,,,,,,,,,
129,7.0,0.0,30.0,0.0,0.0,3.45,47.0,70,,38.5,test,Failing,,,,,,,,,,,,,,,,,,,,,,,
130,10.0,40.0,70.0,0.0,0.0,7.75,58.0,90,47.0,64.2,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
131,8.0,20.0,80.0,100.0,60.0,13.5,25.0,50,33.0,45.5,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
132,10.0,25.0,70.0,100.0,100.0,15.65,55.0,70,48.0,63.9,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
133,2.0,30.0,40.0,40.0,0.0,5.2,25.0,70,35.0,45.7,test,Failing,Successful,False,True,,,,,,,,,,,,,,,,,,,,
134,10.0,37.0,70.0,100.0,80.0,15.23,71.0,80,73.0,76.13,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
135,8.0,27.0,45.0,20.0,25.0,7.44,55.0,30,48.0,39.69,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
136,10.0,30.0,80.0,85.0,65.0,14.13,66.0,70,45.0,63.28,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
137,5.0,25.0,70.0,100.0,10.0,10.1,60.0,50,37.0,48.35,test,Failing,Failing,True,False,,,,,,,,,,,,,,,,,,,,
138,10.0,35.0,80.0,90.0,70.0,14.75,65.0,90,66.0,77.0,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
139,10.0,40.0,70.0,95.0,80.0,15.15,55.0,90,42.0,69.9,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
140,10.0,35.0,70.0,100.0,50.0,13.8,65.0,70,70.0,69.05,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
141,10.0,25.0,80.0,100.0,65.0,14.53,48.0,60,45.0,56.98,test,Successful,Successful,True,False,,,,,,,,,,,,,,,,,,,,
